# MANUALLY MANAGED - admitted WIP relocation candidate census.
# Seed/audit tooling writes build/retail-seed only; review and edit this file by hand.
# Each address is qualified by image because GAME.EXE and OPEN.EXE are separate overlays.
# PS-X EXE retains no relocation directory: candidate does not mean linker truth.
image	site_va	site_file_offset	paired_site_va	kind	channel	target_va	target_region	target_name	opcode	register	confidence	status	provenance
GAME.EXE	0x80012134	0x934		mips32_candidate	raw-word	0x80018244	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012138	0x938		mips32_candidate	raw-word	0x80018244	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001213c	0x93c		mips32_candidate	raw-word	0x80018244	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012140	0x940		mips32_candidate	raw-word	0x80018244	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012144	0x944		mips32_candidate	raw-word	0x80018244	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012148	0x948		mips32_candidate	raw-word	0x80018244	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001214c	0x94c		mips32_candidate	raw-word	0x80018244	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012150	0x950		mips32_candidate	raw-word	0x80018244	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012154	0x954		mips32_candidate	raw-word	0x80018244	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012158	0x958		mips32_candidate	raw-word	0x80018244	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001215c	0x95c		mips32_candidate	raw-word	0x80018244	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012160	0x960		mips32_candidate	raw-word	0x800181a0	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012164	0x964		mips32_candidate	raw-word	0x800181a0	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012168	0x968		mips32_candidate	raw-word	0x800181a0	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001216c	0x96c		mips32_candidate	raw-word	0x800181a0	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012170	0x970		mips32_candidate	raw-word	0x800181a0	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012174	0x974		mips32_candidate	raw-word	0x800181a0	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121b4	0x9b4		mips32_candidate	raw-word	0x8001c348	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121b8	0x9b8		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121bc	0x9bc		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121c0	0x9c0		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121c4	0x9c4		mips32_candidate	raw-word	0x8001c3c0	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121c8	0x9c8		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121cc	0x9cc		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121d0	0x9d0		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121d4	0x9d4		mips32_candidate	raw-word	0x8001c440	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121d8	0x9d8		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121dc	0x9dc		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121e0	0x9e0		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121e4	0x9e4		mips32_candidate	raw-word	0x8001c4e4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121e8	0x9e8		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121ec	0x9ec		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121f0	0x9f0		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121f4	0x9f4		mips32_candidate	raw-word	0x8001c37c	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121f8	0x9f8		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800121fc	0x9fc		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012200	0xa00		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012204	0xa04		mips32_candidate	raw-word	0x8001c3f4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012208	0xa08		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001220c	0xa0c		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012210	0xa10		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012214	0xa14		mips32_candidate	raw-word	0x8001c480	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012218	0xa18		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001221c	0xa1c		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012220	0xa20		mips32_candidate	raw-word	0x8001c584	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012224	0xa24		mips32_candidate	raw-word	0x8001c524	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001222c	0xa2c		mips32_candidate	raw-word	0x8001d204	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012230	0xa30		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012234	0xa34		mips32_candidate	raw-word	0x8001d45c	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012238	0xa38		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001223c	0xa3c		mips32_candidate	raw-word	0x8001c8b8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012240	0xa40		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012244	0xa44		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012248	0xa48		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001224c	0xa4c		mips32_candidate	raw-word	0x8001ca44	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012250	0xa50		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012254	0xa54		mips32_candidate	raw-word	0x8001d5a8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012258	0xa58		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001225c	0xa5c		mips32_candidate	raw-word	0x8001d0f8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012260	0xa60		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012264	0xa64		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012268	0xa68		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001226c	0xa6c		mips32_candidate	raw-word	0x8001cac8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012270	0xa70		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012274	0xa74		mips32_candidate	raw-word	0x8001cfcc	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012278	0xa78		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001227c	0xa7c		mips32_candidate	raw-word	0x8001ccf8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012280	0xa80		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012284	0xa84		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012288	0xa88		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001228c	0xa8c		mips32_candidate	raw-word	0x8001cbf0	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012290	0xa90		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012294	0xa94		mips32_candidate	raw-word	0x8001d344	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012298	0xa98		mips32_candidate	raw-word	0x8001d6d4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001229c	0xa9c		mips32_candidate	raw-word	0x8001ce68	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800122c8	0xac8		mips32_candidate	raw-word	0x8002244c	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800122cc	0xacc		mips32_candidate	raw-word	0x8002245c	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800122d0	0xad0		mips32_candidate	raw-word	0x80022474	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800122d4	0xad4		mips32_candidate	raw-word	0x80022484	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800122d8	0xad8		mips32_candidate	raw-word	0x80022494	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800122dc	0xadc		mips32_candidate	raw-word	0x800224a4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800122e0	0xae0		mips32_candidate	raw-word	0x800224c0	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800122f0	0xaf0		mips32_candidate	raw-word	0x800237a8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800122f4	0xaf4		mips32_candidate	raw-word	0x800237b8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800122f8	0xaf8		mips32_candidate	raw-word	0x800237a8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x800122fc	0xafc		mips32_candidate	raw-word	0x800237a8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012300	0xb00		mips32_candidate	raw-word	0x800237a8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012304	0xb04		mips32_candidate	raw-word	0x80023784	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012308	0xb08		mips32_candidate	raw-word	0x80023784	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001230c	0xb0c		mips32_candidate	raw-word	0x800237a8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012310	0xb10		mips32_candidate	raw-word	0x80023950	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012314	0xb14		mips32_candidate	raw-word	0x800239a0	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012318	0xb18		mips32_candidate	raw-word	0x8002395c	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001231c	0xb1c		mips32_candidate	raw-word	0x80023968	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012320	0xb20		mips32_candidate	raw-word	0x80023974	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012324	0xb24		mips32_candidate	raw-word	0x80023980	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012328	0xb28		mips32_candidate	raw-word	0x8002398c	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001232c	0xb2c		mips32_candidate	raw-word	0x80023998	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012330	0xb30		mips32_candidate	raw-word	0x80023d94	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012334	0xb34		mips32_candidate	raw-word	0x80023e74	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012338	0xb38		mips32_candidate	raw-word	0x80023dac	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001233c	0xb3c		mips32_candidate	raw-word	0x80023dc8	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012340	0xb40		mips32_candidate	raw-word	0x80023de4	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012344	0xb44		mips32_candidate	raw-word	0x80023e28	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x80012348	0xb48		mips32_candidate	raw-word	0x80023e44	load		.word		range-only	candidate	investigation:relocs.tsv
GAME.EXE	0x8001234c	0xb4c		mips32_candidate	raw-word	0x80023e60	load		.word		range-only	candidate	investigation:relocs.tsv
